Xkr4
Rp1
Sox17
Mrpl15
Lypla1
Tcea1
Rgs20
Atp6v1h
Oprk1
Npbwr1
4732440D04Rik
Rb1cc1
Alkal1
St18
Pcmtd1
Sntg1
Rrs1
Adhfe1
2610203C22Rik
Vxn
Mybl1
Vcpip1
1700034P13Rik
Sgk3
Mcmdc2
Snhg6
Snord87
Tcf24
Ppp1r42
Cops5
Cspp1
Arfgef1
Cpa6
Prex2
A830018L16Rik
Mir6341
Gm17644
Sulf1
Slco5a1
Prdm14
Ncoa2
Tram1
Lactb2
Xkr9
Gm5523
Eya1
Msc
Trpa1
Kcnb2
Terf1
Sbspon
4930444P10Rik
Rpl7
Rdh10
Stau2
Ube2w
Eloc
D030040B21Rik
Tmem70
Ly96
Jph1
Gdap1
Pi15
Gm16070
Crispld1
Crisp4
Defb41
Gm15825
Tfap2d
Tfap2b
Pkhd1
4930486I03Rik
Lincmd1
Mir133b
Il17a
Il17f
Mcm3
6720483E21Rik
Paqr8
Efhc1
Tram2
Tmem14a
Gsta3
Gm4956
Khdc1a
Khdc1c
Khdc1b
Kcnq5
Rims1
Gm7759
Ppp1r14bl
Mir30a
Ogfrl1
Gm28822
B3gat2
Smap1
Sdhaf4
Fam135a
Col9a1
Col19a1
Lmbrd1
Adgrb3
Gm20172
Gm9884
Spata31e2
Gm5524
Spata31e5
Mir6342
Gm31465
Gm9898
Phf3
Ptp4a1
Gm53209
Gm29669
4931428L18Rik
Lgsn
Dnaaf6rt
Gm4850
Khdrbs2
Gm9839
Semp2l1
Prim2
1700001G17Rik
Gm32229
Rab23
Bag2
Zfp451
Gm15455
Bend6
Dst
Mir6896
Gm26788
Gm3052
Mir5103
Ccdc115
Imp4
Ptpn18
Prss39
Cfc1
Prss40
Amer3
AA619741
Arhgef4
Smim39
Fam168b
Plekhb2
Hs6st1
Uggt1
Neurl3
Arid5a
Kansl3
Fer1l5
Lman2l
Gm33454
Cnnm4
Cnnm3
Ankrd23
Ankrd39
Sema4c
Fam178b
Cox5b
Actr1b
4933424G06Rik
Zap70
Tmem131
Vwa3b
Cnga3
Inpp4a
Coa5
Unc50
Mgat4a
4930594C11Rik
Cracdl
Tsga10
Lipt1
Mitd1
Mrpl30
Lyg2
Txndc9
Eif5b
Rev1
Gm5099
Aff3
Gm16152
Lonrf2
Chst10
Nms
Pdcl3
Npas2
Rpl31
Tbc1d8
Cnot11
Snord89
Rnf149
Creg2
Rfx8
Gm3646
Gm35600
Map4k4
Gm16894
Il1r2
Il1r1
Il1rl2
Il1rl1
Il18r1
Il18rap
Slc9a4
Slc9a2
Mfsd9
Tmem182
4930448I06Rik
Pantr1
Gm20646
Pou3f3
2900092D14Rik
Pantr2
Dalir
Mrps9
Gpr45
Tgfbrap1
AI597479
Fhl2
Nck2
Ecrg4
Uxs1
Tpp2
Mettl21c
Ccdc168
Tex30
Poglut2
Bivm
Ercc5
Mettl21e
Gulp1
4930521E06Rik
Col3a1
Col5a2
Wdr75
Slc40a1
Stk-ps2
Dnah7b
Dnah7c
Slc39a10
C230029F24Rik
Tmeff2
9330175M20Rik
Cavin2
Nabp1
Gm17767
Myo1b
Stat4
Stat1
Gls
Nab1
Gm53065
Gm28178
Nemp2
Mfsd6
Inpp1
Hibch
1700019D03Rik
Mstn
1700019A02Rik
Pms1
Gm28777
Ormdl1
Osgepl1
Asnsd1
Asdurf
Dnah7a
Stk17b
Hecw2
Ccdc150
Gtf3c3
Gm34066
Pgap1
Ankrd44
4930444A19Rik
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Gm10561
Mars2
Boll
Plcl1
Gm6644
9130227L01Rik
Satb2
9130024F11Rik
1700126A01Rik
BC055402
4930558J18Rik
1700066M21Rik
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Aox1
Aox3
Aox4
Aox2
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Gm15834
Hycc2
Ndufb3
Gm20257
Flacc1
Cflar
Casp8
Trak2
Stradb
C2cd6
Tmem237
Mpp4
Als2
Gm33667
Cdk15
Fzd7
Gm973
Sumo1
Nop58
Snord70
Snord11
B430105G09Rik
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Cd28
Ctla4
Icos
9530026F06Rik
Pard3b
Pard3bos2
Nrp2
4930487H11Rik
Ino80d
Ino80dos
Ndufs1
Eef1b2
Snora41
Cmklr2
Zdbf2
Adam23
Fam237a
Mdh1b
Fastkd2
4933402D24Rik
Gm13749
Klf7
Creb1
Mettl21a
2810408I11Rik
Ccnyl1
Fzd5
Plekhm3
Gm51627
Akr1cl
Cryge
Crygd
Crygc
Cryga
D630023F18Rik
Idh1
Pikfyve
Pth2r
Map2
Unc80
Rpe
Kansl1l
Acadl
Myl1
Lancl1
Cps1
Erbb4
Ikzf2
Spag16
Vwc2l
Bard1
Abca12
Atic
Fn1
Apol7d
Gm8883
4933417E11Rik
Gm4319
Mreg
Gm51630
D230017M19Rik
Pecr
Tmem169
Xrcc5
Marchf4
Smarcal1
Ankar
Rpl37a
Igfbp2
Igfbp5
Tnp1
Gm31344
Pinc
D530049I02Rik
6030407O03Rik
Tns1
Rufy4
Cxcr2
Cxcr1
Arpc2
Gpbar1
Aamp
Gm28364
Pnkd
Tmbim1
Catip
Slc11a1
Ctdsp1
Mir26b
Vil1
Usp37
Cnot9
Plcd4
Zfp142
Bcs1l
Rnf25
Stk36
Ttll4
Cyp27a1
Prkag3
Wnt6
Wnt10a
Gm16582
Cdk5r2
Fev
Cryba2
Mir375
Cfap65
Ihh
Nhej1
Slc23a3
Cnppd1
Retreg2
Zfand2b
Abcb6
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
A630095N17Rik
Dnajb2
Ptprn
Resp18
